Date,Open,High,Low,Close,Adj Close,Volume,Change Percent,Temp Change Percent,Temp std derivation,Low Bound, High Bound,Fat change,Basic changes, Bottom,Top, Fat Position Change, Basic Position Change, Basic Change Price, Position, Offset, Cash,trading profit,Balance, fat_position, fat_cash, fat_balance, orig_position, orig_trade_profit, orig_cash, orig_balance
04/29/2019,187.42,188,185.76,186.94,186.94,8.6606e+06,-0.000801721,-0.000801721,0.0135473,-0.0135473, 0.0135473,0,-0.000801721, 62.5933,140.835, 0, 0, 187.015, 0, 0, 41174.7,21.1541,41174.7, 0, 49.059, 157.989, -283.199, 17.1614, 82374.7, 29433.6
04/30/2019,186.3,188.25,183.82,185.57,185.57,1.50765e+07,-0.00732853,-0.00732853,0.0135468,-0.0135468, 0.0135468,0,-0.00732853, 62.5933,140.835, 0, 0, 186.254, 0, 0, 41195.7,20.9974,41195.7, 0, 49.059, 157.989, -275.843, 17.0902, 81021.8, 29833.6
05/01/2019,186.75,193.195,185.88,189.31,189.31,1.73975e+07,0.0201541,0.0201541,0.013616,-0.013616, 0.013616,0.00645021,0.013616, 62.5933,140.835, 0, 0, 186.829, 0, 0, 41217.4,21.6402,41217.4, 0, 49.059, 157.989, -295.797, 17.3745, 84779.1, 28781.8
05/02/2019,189.42,192.7,186.65,190.39,190.39,1.14681e+07,0.00570493,0.00570493,0.0140689,-0.0140689, 0.0140689,0,0.00570493, 62.5933,140.835, 0, 0, 189.849, 0, 0, 41240.6,23.2354,41240.6, 0, 49.059, 157.989, -301.486, 18.7887, 85877.9, 28478.1
05/03/2019,191.88,195.72,191.88,195.21,195.21,1.45211e+07,0.0253165,0.0253165,0.0140416,-0.0140416, 0.0140416,0.0111188,0.0140416, 62.5933,140.835, 0, 0, 191.722, 0, 0, 41264.3,23.7314,41264.3, 0, 49.059, 157.989, -326.487, 19.0054, 90716.8, 26983.3
05/06/2019,185.17,189,184.83,188.24,188.24,2.39412e+07,-0.0357051,-0.0357051,0.0146858,-0.0146858, 0.0146858,-0.0213327,-0.0146858, 62.5933,140.835, 0, 0, 193.771, 0, 0, 41289.4,25.0318,41289.4, 0, 49.059, 157.989, -290.129, 20.6714, 83767.9, 29154
05/07/2019,186.05,186.45,179.63,181.43,181.43,2.26632e+07,-0.0361773,-0.0361773,0.0152326,-0.0152326, 0.0152326,-0.0212687,-0.0152326, 62.5933,140.835, 0, 0, 186.801, 0, 0, 41315.3,25.9563,41315.3, 0, 49.059, 157.989, -253.281, 21.4401, 76979.7, 31026.9
05/08/2019,180.95,183.2,178.58,179.59,179.59,1.66111e+07,-0.0101416,-0.0101416,0.0165912,-0.0165912, 0.0165912,0,-0.0101416, 62.5933,140.835, 0, 0, 180.508, 0, 0, 41345.8,30.4808,41345.8, 0, 49.059, 157.989, -243.087, 24.8441, 75164.5, 31508.5
05/09/2019,175.43,180.695,173.07,179.04,179.04,2.27278e+07,-0.00306255,-0.00306255,0.0166892,-0.0166892, 0.0166892,0,-0.00306255, 62.5933,140.835, 0, 0, 179.315, 0, 0, 41376.5,30.7472,41376.5, 0, 49.059, 157.989, -240.02, 24.9721, 74639.5, 31666.3
05/10/2019,180.18,180.79,174.1,178,178,1.8987e+07,-0.00580872,-0.00580872,0.0166602,-0.0166602, 0.0166602,0,-0.00580872, 62.5933,140.835, 0, 0, 178.519, 0, 0, 41407,30.4625,41407, 0, 49.059, 157.989, -234.195, 24.7751, 73624.3, 31937.7
05/13/2019,169.79,172.47,168.78,170.01,170.01,2.23307e+07,-0.0448877,-0.0448877,0.0166859,-0.0166859, 0.0166859,-0.0286803,-0.0166859, 62.5933,140.835, 0, 0, 176.509, 0, 0, 41436.2,29.1852,41436.2, 0, 49.059, 157.989, -188.268, 24.2169, 65659.2, 33651.7
05/14/2019,172.75,175.15,171.48,174.84,174.84,1.78741e+07,0.0284101,0.0284101,0.0178502,-0.0178502, 0.0178502,0.0103747,0.0178502, 62.5933,140.835, 0, 0, 171.521, 0, 0, 41470.5,34.3489,41470.5, 0, 49.059, 157.989, -216.282, 27.4671, 70516.5, 32701.7
05/15/2019,177.06,180.24,173.321,177.6,177.6,3.76104e+07,0.0157859,0.0157859,0.0186539,-0.0186539, 0.0186539,0,0.0157859, 62.5933,140.835, 0, 0, 176.215, 0, 0, 41508.6,38.1037,41508.6, 0, 49.059, 157.989, -231.945, 30.6584, 73307.2, 32113.7
05/16/2019,178.18,178.25,174.75,175.57,175.57,2.05792e+07,-0.0114302,-0.0114302,0.0188784,-0.0188784, 0.0188784,0,-0.0114302, 62.5933,140.835, 0, 0, 176.582, 0, 0, 41547.2,38.5804,41547.2, 0, 49.059, 157.989, -220.449, 31.4664, 71308.6, 32604.4
05/17/2019,171.69,172.29,168.49,169.57,169.57,2.25394e+07,-0.0341744,-0.0341744,0.0186796,-0.0186796, 0.0186796,-0.0157897,-0.0186796, 62.5933,140.835, 0, 0, 173.922, 0, 0, 41583.7,36.4813,41583.7, 0, 49.059, 157.989, -185.677, 30.1027, 65339, 33853.8
